epoch,train_loss,train_auc,train_acc,train_sens,train_spec,val_auc,val_acc,val_sens,val_spec,current_lr
1,8.549532681703568,0.7923304536207761,0.878,0.6559139784946236,0.9287469287469288,0.6416666666666666,0.8066666666666666,0.36666666666666664,0.9166666666666666,0.0001
2,5.436426490545273,0.8007714459327362,0.912,0.6236559139784946,0.9778869778869779,0.5625,0.78,0.2,0.925,0.0001
3,4.089407801628113,0.8669784153655121,0.932,0.7634408602150538,0.9705159705159705,0.6416666666666666,0.8266666666666667,0.3333333333333333,0.95,5e-05
4,3.2265810817480087,0.8685107394784813,0.948,0.7419354838709677,0.995085995085995,0.5375,0.8,0.1,0.975,5e-05
5,2.4475671350955963,0.9408602150537635,0.978,0.8817204301075269,1.0,0.625,0.84,0.26666666666666666,0.9833333333333333,2.5e-05
6,2.0242958664894104,0.9413225542257802,0.972,0.8924731182795699,0.9901719901719902,0.6166666666666667,0.8266666666666667,0.26666666666666666,0.9666666666666667,2.5e-05
7,2.104224741458893,0.9772661224274127,0.99,0.956989247311828,0.9975429975429976,0.6124999999999999,0.82,0.26666666666666666,0.9583333333333334,1.25e-05
8,2.0333037078380585,0.9652849330268686,0.984,0.9354838709677419,0.995085995085995,0.6124999999999999,0.82,0.26666666666666666,0.9583333333333334,1.25e-05
9,1.6186922676861286,0.9814139652849331,0.99,0.967741935483871,0.995085995085995,0.6083333333333333,0.8133333333333334,0.26666666666666666,0.95,6.25e-06
10,1.7057235725224018,0.9718897783413912,0.988,0.946236559139785,0.9975429975429976,0.6208333333333333,0.8133333333333334,0.3,0.9416666666666667,6.25e-06
11,1.760290451347828,0.9772661224274127,0.99,0.956989247311828,0.9975429975429976,0.6208333333333333,0.8133333333333334,0.3,0.9416666666666667,3.125e-06
12,1.6213805601000786,0.9772661224274127,0.99,0.956989247311828,0.9975429975429976,0.6208333333333333,0.8133333333333334,0.3,0.9416666666666667,3.125e-06
13,1.522671315819025,0.9760376211989115,0.988,0.956989247311828,0.995085995085995,0.6041666666666666,0.8066666666666666,0.26666666666666666,0.9416666666666667,1.5625e-06
14,1.4544899351894855,0.9826424665134343,0.992,0.967741935483871,0.9975429975429976,0.6249999999999999,0.82,0.3,0.95,1.5625e-06
15,1.4518025666475296,0.9946236559139785,0.998,0.989247311827957,1.0,0.6,0.8,0.26666666666666666,0.9333333333333333,7.8125e-07
16,1.462209451943636,0.9760376211989115,0.988,0.956989247311828,0.995085995085995,0.6041666666666666,0.8066666666666666,0.26666666666666666,0.9416666666666667,7.8125e-07
17,1.365856308490038,0.9718897783413912,0.988,0.946236559139785,0.9975429975429976,0.6041666666666666,0.8066666666666666,0.26666666666666666,0.9416666666666667,3.90625e-07
18,1.3423233181238174,0.9826424665134343,0.992,0.967741935483871,0.9975429975429976,0.6124999999999999,0.82,0.26666666666666666,0.9583333333333334,3.90625e-07
19,1.3308047950267792,0.9814139652849331,0.99,0.967741935483871,0.995085995085995,0.6249999999999999,0.82,0.3,0.95,1.953125e-07
20,1.4969590678811073,0.9826424665134343,0.992,0.967741935483871,0.9975429975429976,0.6166666666666667,0.8066666666666666,0.3,0.9333333333333333,1.953125e-07
21,1.4582939632236958,0.9921666534569761,0.994,0.989247311827957,0.995085995085995,0.6041666666666666,0.8066666666666666,0.26666666666666666,0.9416666666666667,9.765625e-08
22,1.4473836086690426,0.978494623655914,0.992,0.956989247311828,1.0,0.6208333333333333,0.8133333333333334,0.3,0.9416666666666667,9.765625e-08
23,1.4953194856643677,0.9718897783413912,0.988,0.946236559139785,0.9975429975429976,0.6166666666666667,0.8066666666666666,0.3,0.9333333333333333,4.8828125e-08
24,1.269003003835678,0.9826424665134343,0.992,0.967741935483871,0.9975429975429976,0.6041666666666666,0.8066666666666666,0.26666666666666666,0.9416666666666667,4.8828125e-08
25,1.41464476659894,0.989247311827957,0.996,0.978494623655914,1.0,0.6083333333333333,0.8133333333333334,0.26666666666666666,0.95,2.44140625e-08
